,Firm name,Gross claims incurred (£m) - 2016YE,Gross claims incurred (£m) - 2017YE,Gross claims incurred (£m) - 2018YE,Gross claims incurred (£m) - 2019YE,Gross claims incurred (£m) - 2020YE,"Gross BEL (inc. TPs as whole, pre-TMTP) (£m) - 2016YE","Gross BEL (inc. TPs as whole, pre-TMTP) (£m) - 2017YE","Gross BEL (inc. TPs as whole, pre-TMTP) (£m) - 2018YE","Gross BEL (inc. TPs as whole, pre-TMTP) (£m) - 2019YE","Gross BEL (inc. TPs as whole, pre-TMTP) (£m) - 2020YE","Net BEL (inc. TPs as a whole, pre-TMTP) (£m) - 2016YE","Net BEL (inc. TPs as a whole, pre-TMTP) (£m) - 2017YE","Net BEL (inc. TPs as a whole, pre-TMTP) (£m) - 2018YE","Net BEL (inc. TPs as a whole, pre-TMTP) (£m) - 2019YE","Net BEL (inc. TPs as a whole, pre-TMTP) (£m) - 2020YE",Pure net claims ratio - 2016YE,Pure net claims ratio - 2017YE,Pure net claims ratio - 2018YE,Pure net claims ratio - 2019YE,Pure net claims ratio - 2020YE,Net expense ratio - 2016YE,Net expense ratio - 2017YE,Net expense ratio - 2018YE,Net expense ratio - 2019YE,Net expense ratio - 2020YE,Net combined ratio - 2016YE,Net combined ratio - 2017YE,Net combined ratio - 2018YE,Net combined ratio - 2019YE,Net combined ratio - 2020YE,Pure gross claims ratio - 2016YE,Pure gross claims ratio - 2017YE,Pure gross claims ratio - 2018YE,Pure gross claims ratio - 2019YE,Pure gross claims ratio - 2020YE,Gross expense ratio - 2016YE,Gross expense ratio - 2017YE,Gross expense ratio - 2018YE,Gross expense ratio - 2019YE,Gross expense ratio - 2020YE,Gross combined ratio - 2016YE,Gross combined ratio - 2017YE,Gross combined ratio - 2018YE,Gross combined ratio - 2019YE,Gross combined ratio - 2020YE
1,Firm 1,0.0,0.005515162433567464,0.0,0.0,0.0,0.0,0.5889941649851628,0.0,0.0,0.0,0.0,9.894597449379987,0.0,0.0,0.0,0.0,17.184307980672962,0.0,0.0,0.0,0.0,41.013059968847735,0.0,0.0,0.0,0.0,71.2988409838318,0.0,0.0,0.0,0.0,17.534691168824644,0.0,0.0,0.0,0.0,77.25125440877,0.0,0.0,0.0,0.0,0.6750506932790861,0.0,0.0,0.0
2,Firm 2,44.46786547748218,29.489599041384793,34.100482155607686,0.0,0.0,221.32767985853053,59.47469092733211,266.1184138397505,0.0,0.0,45.459689408915395,239.07267234663627,244.2678845643909,0.0,0.0,0.15986468932849743,0.22999885695372996,0.08837189194669656,0.0,0.0,0.8436718607451861,0.7384046941849708,1.370775850201961,0.0,0.0,1.2762961695141901,2.1760708684317653,0.6873162160528358,0.0,0.0,0.17834154906383928,0.034749821221748384,0.24349122970538056,0.0,0.0,0.3911788022958701,0.6859407248997416,1.4332837556328637,0.0,0.0,1.7509462837935605,1.3215230065919024,1.545324743992064,0.0,0.0
4,Firm 4,14.34093849912894,71.06244714238561,87.9124713237458,42.280401637337754,3.668493703107413,-35.11276760031978,7.848684904000995,100.87627001745905,167.9595358151515,0.05759892561622694,-1.4583904534595367,12.273377933748678,56.12905227079385,146.187938739908,38.903549110622215,1.384419618521016,1.7979514599206041,3.4578912104532216,0.0038475501698797677,-5.765023558051932,0.33867829077103734,0.006629329531415659,0.08397676780599463,0.0916669529636263,-0.11838377798728057,0.6724811477198254,1.9869523098314188,1.8415283383643815,3.8172209112193274,-3.5487314600183835,0.060352456502126436,1.3076663318360673,2.521607414002212,0.27374570260898706,-9.382388735244048,0.23113940715745485,0.28547125355705194,0.05415039687690857,0.05184821153737166,-0.16288336913828425,1.047234208157352,0.4763843990933207,3.307378843478033,1.247403375411361,-2.303093034826068
5,Firm 5,48.73860600477963,425.7488693439914,691.3796685086007,174.1012596512121,5.927624122258505,8.38670125842201,253.14941406571506,587.4612085651953,226.9774352912039,722.2394978665125,46.17668122431677,282.2703171565344,317.8770030954708,704.1299459691772,582.1919882048094,0.5976654783086923,2.222645201472409,0.7522154931229129,0.36137659581457804,0.9145954116007368,0.41761563226460585,0.15906355619694026,0.0405871286790751,0.16045514277328013,0.058344943129131153,0.5098712296259755,0.08759192156998218,2.403634704846472,1.2408763136613596,1.8696675468097796,0.13318164132890561,1.2266105318298328,1.5239883856838596,0.8519487139593112,0.7346374105448757,0.23612842626376865,0.23272486667668435,0.20450778125546212,0.1317385125109131,0.04870298975762643,0.2436114285756736,1.977732028688713,2.4952872245970488,0.36545511276677267,1.133645348089864
6,Firm 6,125.07679228830902,457.3197221458591,364.14875519155095,257.3324523424779,268.5278731760643,800.5318439578791,554.6120698158222,232.5502084841546,187.21374881431407,865.0140655578881,843.0400666374704,816.2661941651585,695.6275137869178,504.43594599437927,530.8859345526797,1.4764362633448778,0.1081223292597807,1.246686132672959,0.24733323924050907,0.02681791589035407,0.4135642116949417,0.3917988202704724,0.002661349290642914,0.2725070788523087,0.24950166933032364,0.2809693133498721,0.49660112840242177,0.7000453097771654,1.5232018813659176,0.38456364010608735,0.1462490031132432,0.12723671573839554,0.3878201261220037,0.17696158111843002,0.5211461456283779,0.1052666867442944,0.45117769763733345,0.23957640803536376,0.2613225558916243,0.06570955543233553,0.6503686226171146,0.9042705628368403,0.1471462936182151,0.3510338688665203,0.6878597389697763
8,Firm 8,0.10735388701246394,-0.027761171537720484,-0.17763106321913938,0.0,0.0,0.68412750488666,1.1184963734668019,0.8616285263464175,1.2474815235322898,0.027732611353245718,1.1689494731047958,0.3140880783570367,0.9491476740327188,0.18383154120095938,0.26240689048332055,0.24659470019391988,-0.13383607414140358,-0.7666134997745658,0.018346392215783696,0.0,0.2254382597314984,0.4210185364848868,0.3350928997925915,0.9384328163368911,0.0,0.6405408071339612,1.10621893885633,-0.9621928833220523,0.19351942837209027,0.0,0.13333741084128373,-0.11796009178422631,-0.23636522003721666,0.0,0.0,0.519989902763687,0.28316490623095747,0.050565838594295885,0.46466735631357675,0.0,1.2717918773218742,0.12503484699733325,-0.013901196829431705,1.046206352054199,0.0
9,Firm 9,213.49653185027373,87.5931237535367,193.0638678857374,78.94937447706832,0.0,567.2169814826483,695.1437273384913,835.7799506262777,511.8590347159693,0.0,28.721342948964864,696.5788904749608,790.3521783861547,195.74228765305847,0.0,0.13251572475245782,0.08731033928831775,0.780486630899371,0.9452082922267184,0.0,0.5144916610054329,0.14496587009641107,0.23075198748474848,0.6962808583824915,0.0,1.5006271211481814,1.6248796606506009,1.1037107567337425,1.8564047747461434,0.0,0.6103009811702054,0.11400859706741508,0.9299581561291823,0.7975448811279359,0.0,0.703506547111474,0.4445643226129301,0.5949722859057089,0.04362752041336485,0.0,1.4131588402746262,0.3377631428630233,1.5301922694520316,0.9023984893522725,0.0
10,Firm 10,3.671435815594944,100.89725449283647,138.3456332608447,122.9845538632637,189.69732384471436,48.92676170520725,83.33865989016422,168.67169170900624,69.9267023956646,253.33025005340468,103.63475217890054,31.950665358610767,103.30193159834967,21.43786993972497,172.0825946640494,0.4816834076741745,0.4571163074042325,1.0537725144813896,0.9661483637468284,0.24202721864731336,0.15725873127850556,0.8237712621398708,0.4191208086629825,0.2900927551816981,0.013781017132173334,0.7955763615714424,1.145839027865052,0.4935542740717888,1.5104252319571778,0.07472172245350553,0.5421202818800204,1.6123864082821437,1.2011239362654758,0.19483077712116134,0.8596547951551985,0.12695365023438726,0.025788849304526597,0.6058254511037993,0.455562046437292,0.37461244218390355,1.5201164928867645,0.3501611482951162,1.2919615374229725,0.3574123745850338,0.30630312830707807
11,Firm 11,37.834344080554196,8.314971665565619,14.13254497015688,62.05414137825499,116.19068578302279,0.924388072298847,0.10082143783567951,76.6204127016476,76.92384967060693,60.95029321686767,282.91134679257084,114.54962694129,111.23863280015425,160.15745416912745,188.95417109786652,0.580423214419912,1.3410741508451585,0.618147810286602,0.8463970833737314,0.009316155002695191,0.4533935147344358,0.5400815198662973,0.08065813225162811,0.5294217250322621,0.6660890796553302,0.31369748840900835,1.6947615569547398,1.4304295427041285,0.12391426526318969,0.9083560704434883,0.5433051927718444,0.3115603353364465,0.5794778507523132,0.3169502250527784,0.5999478846943714,0.48124204895645667,0.33421402621755975,0.4878837031557172,0.0747801550874001,0.6060212843644446,0.02245181327847288,2.0893637172081108,1.3093098477971197,0.2067025303633,0.9917390852835503
12,Firm 12,114.74985287901761,39.98618472291796,9.262802254206314,66.64366636465283,0.19525143230326936,336.1229272740091,102.20028306317506,107.35177676557197,70.9003954416241,45.043128263442235,233.84509500660087,115.59280127649701,43.02477099450592,38.81376948609587,82.09466764555602,0.3495075912480735,0.6407878777909478,0.013452099618203282,0.6963093545334031,1.407151493482865,0.3142750302882245,0.5968749880060442,0.9364719081629924,0.10064557629353038,0.15055748464058316,0.30159258901493374,0.4817366744570189,0.22450164528523345,0.41532182824508235,0.5049326640744637,0.925942236806949,0.7563682946405542,0.6825849627549506,1.484046779894704,1.6663951740111693,0.6324247905521404,0.15516222405540822,0.2794229019522637,0.04953636163792464,0.04510913638071148,1.8799715588470158,1.251860743064063,0.8518668710278665,0.16245787241409265,0.917823147827952
